sample_id	accession_pat	accession_mat	sex
HG03041	HG03041_pat_hprc_r2_v1.0.1	HG03041_mat_hprc_r2_v1.0.1	female
HG03050	HG03050_pat_hprc_r2_v1.0.1	HG03050_mat_hprc_r2_v1.0.1	male
HG03098	HG03098_pat_hprc_r2_v1.0.1	HG03098_mat_hprc_r2_v1.0.1	male
HG03130	HG03130_hap1_hprc_r2_v1.0.1	HG03130_hap2_hprc_r2_v1.0.1	male
HG03139	HG03139_hap1_hprc_r2_v1.0.1	HG03139_hap2_hprc_r2_v1.0.1	male
HG03195	HG03195_hap1_hprc_r2_v1.0.1	HG03195_hap2_hprc_r2_v1.0.1	female
HG03209	HG03209_hap1_hprc_r2_v1.0.1	HG03209_hap2_hprc_r2_v1.0.1	male
HG03225	HG03225_hap1_hprc_r2_v1.0.1	HG03225_hap2_hprc_r2_v1.0.1	male
HG03239	HG03239_pat_hprc_r2_v1.0.1	HG03239_mat_hprc_r2_v1.0.1	female
HG03270	HG03270_hap1_hprc_r2_v1.0.1	HG03270_hap2_hprc_r2_v1.0.1	female
HG03369	HG03369_hap1_hprc_r2_v1.0.1	HG03369_hap2_hprc_r2_v1.0.1	female
HG03453	HG03453_pat_hprc_r2_v1.0.1	HG03453_mat_hprc_r2_v1.0.1	female
HG03470	HG03470_hap1_hprc_r2_v1.0.1	HG03470_hap2_hprc_r2_v1.0.1	female
HG03471	HG03471_hap1_hprc_r2_v1.0.1	HG03471_hap2_hprc_r2_v1.0.1	male
HG03486	HG03486_pat_hprc_r2_v1.0.1	HG03486_mat_hprc_r2_v1.0.1	female
HG03516	HG03516_pat_hprc_r2_v1.1.0	HG03516_mat_hprc_r2_v1.1.0	female
HG03521	HG03521_hap1_hprc_r2_v1.0.1	HG03521_hap2_hprc_r2_v1.0.1	male
HG03540	HG03540_pat_hprc_r2_v1.0.1	HG03540_mat_hprc_r2_v1.0.1	female
HG03579	HG03579_pat_hprc_r2_v1.0.1	HG03579_mat_hprc_r2_v1.0.1	male
HG03583	HG03583_hap1_hprc_r2_v1.0.1	HG03583_hap2_hprc_r2_v1.0.1	female
HG03654	HG03654_pat_hprc_r2_v1.0.1	HG03654_mat_hprc_r2_v1.0.1	male
HG03669	HG03669_pat_hprc_r2_v1.0.1	HG03669_mat_hprc_r2_v1.0.1	female
HG03688	HG03688_pat_hprc_r2_v1.0.1	HG03688_mat_hprc_r2_v1.0.1	male
